Step,Sensed_C_0,Sensed_C_1,Sensed_C_2,Weight_0,Weight_1,Weight_2,Path_Length_0,Path_Length_1,Path_Length_2,Area_Ratio_0,Area_Ratio_1,Area_Ratio_2
0,18.231988125126456,36.652057583413566,55.52505048157917,0.3165131214313464,0.33319659235349636,0.35029028621515723,1397.8851056349336,1595.086555302503,1609.890473761136,0.3241471274585705,0.335259473274771,0.3405933992665473
1,11.89277514084919,33.98793059106178,48.11394961531538,0.2975144171380049,0.33603636204046866,0.3664492208215265,1335.7787125467,1587.4238095648423,1669.8636928817655,0.3043671519057335,0.33581509056558106,0.3598177575285743
2,17.458736628719716,34.55889928604292,50.37903239295451,0.28481307765629427,0.3361827490131411,0.3790041733305647,1265.5546322187572,1575.676461230593,1762.8997858245389,0.295366151794611,0.334926102900285,0.3697077453049928
3,16.26737106394612,32.09042229892652,48.757302073590004,0.2730823800721572,0.33560817566481743,0.3913094442630255,1178.5074152583893,1540.5820764665405,1904.8213110771399,0.27503055895096395,0.334926102900285,0.39004333814863984
4,16.994531907395828,33.90382419898416,46.57271406186261,0.26320960458532006,0.33683083194392244,0.3999595634707577,1151.9764442979563,1551.7183259066965,1930.5268177527157,0.2678075341704336,0.3330370041115309,0.39915546171792426
5,13.195474224631504,34.42746389278947,50.33352103977886,0.2503593987234354,0.33829342897214876,0.4113471723044158,1095.4467880760596,1554.7498055529638,1980.5096859939913,0.2519168796532668,0.33925991776860326,0.4088232025780188
6,14.85837338009896,33.77156431611405,51.87862687769694,0.24010665015731403,0.3380647692199805,0.42182858062270545,1030.1718948462405,1574.9024313795655,1996.9807841702761,0.2440271141237644,0.33925991776860326,0.4167129681075212
7,14.741878126876182,35.418802723995846,48.87808804522314,0.23098094210459008,0.34002085590694137,0.42899820198846855,1007.7581296084428,1586.8349206067362,2037.55345113729,0.23691521280139605,0.34137126347368135,0.4217135237248114
8,18.017880528480426,34.216737789586276,50.14938573318652,0.2254811833914034,0.3394387738672487,0.4350800427413479,966.3610119499198,1612.060802208407,2051.9165147552753,0.2298033114790277,0.3405933992665473,0.42960328925431385
9,17.06999888425376,35.560084522119915,50.51017939287496,0.21948334175407705,0.3399722999280347,0.4405443583178883,963.1193978794689,1584.7967498285213,2059.8425914166023,0.2242471385709274,0.3422602511389774,0.43349261028998404
10,11.052688981206773,36.36127000338777,50.11117388042698,0.2088681774565347,0.34325906938767303,0.44787275315579234,918.9088266194498,1603.1014586359092,2118.5055973973485,0.2143571507945089,0.3458162018001616,0.4398266474052184
11,16.0831302063451,35.366426096737676,48.881684885754254,0.20401139184820372,0.3441828271372686,0.45180578101452773,894.7364489438486,1609.223954862638,2114.612308049255,0.21024558284251468,0.34737193021442964,0.44238248694294446
12,16.78861433309919,35.396253222559835,47.42122701791418,0.20046525978415589,0.3453007767937555,0.45423396342208866,872.1989612397593,1580.9504517350804,2080.555231371947,0.20668963218133052,0.3461495721746476,0.4471607956439107
13,17.617034312692326,32.139040871225056,51.80185846850109,0.19776551674934226,0.34241671603829726,0.4598177672123605,860.1253726268376,1570.8613629925264,2146.1082014667854,0.2044671630180904,0.3445938437603795,0.4509389932214189
14,17.973863543860414,32.78740912807348,49.75447642652422,0.19587060422555685,0.34079422045628405,0.46333517531815915,876.6820873623265,1576.4986287735649,2166.375776330444,0.20224469385485028,0.3403711523502233,0.45738415379481523
15,14.568103507731646,34.65805768963822,53.66047671046613,0.19044291746314693,0.340400472657961,0.4691566098788922,853.883911981985,1571.8808359941509,2155.1840866258676,0.19746638515388404,0.3363707078563911,0.4661629069896137
16,12.810562254165763,34.386865910242,53.006644997643505,0.18418309829355906,0.3406772598532063,0.4751396418532346,846.9902907307641,1549.2371053129154,2178.8585104885256,0.19135459495497373,0.33392599177682697,0.47471941326808814
17,14.354102343321703,33.12844056826701,50.52602936353949,0.18041055057471228,0.34041110836207317,0.47917834106321455,826.176415069502,1564.4513025545534,2200.7678966570506,0.18224247138568928,0.3405933992665473,0.47716412934765223
18,16.61128108341403,34.21431805970341,51.10873678161509,0.1786655560475021,0.33993505462788787,0.48139938932461007,831.2464665551158,1573.6917244708918,2218.8307083173545,0.18335370596730932,0.335259473274771,0.4813868207578085
19,12.246769811850873,32.35794583316281,49.11982743949474,0.17386576973156917,0.34046606618940367,0.4856681640790272,763.8997606128415,1584.1245497492935,2215.526109007925,0.17701966885207499,0.34181575730632935,0.4811645738414845
20,16.180034839983456,36.522995961970175,47.635967905083874,0.17260456280244146,0.34281906135302376,0.4845763758445348,774.4858854955215,1590.5272314086455,2197.698249710352,0.1790198910989911,0.33737081897984916,0.48360928992104857
21,16.44884140946516,35.33301408086956,48.241590611097365,0.17178909222363442,0.34386188702614057,0.484349020750225,775.7274699183123,1624.4831720321777,2248.3587097122336,0.17868652072450508,0.3384820535614692,0.4828314257139145
22,12.331623295954003,35.45964630980865,52.57912644833089,0.16689629900833347,0.3448044881897118,0.48829921280195476,762.6679475103674,1596.169085124576,2223.1651586881553,0.17368596510721482,0.34492721413486555,0.4813868207578085
23,15.071044861555913,33.13015830118753,46.26395542584115,0.16616074687197355,0.345395338457292,0.48844391467073456,747.4563434686095,1594.7350772613418,2234.1801641072357,0.1730192243582428,0.34659406600729564,0.48038670963435043
24,18.058981693777216,37.083701220639526,50.604153697543204,0.16662223428721995,0.3459241834007259,0.48745358231205416,759.7576988578487,1594.8890125234152,2228.580269197325,0.17268585398375677,0.34659406600729564,0.4807200800088364
25,17.95598793453092,35.44783819950719,48.937926098764635,0.16750513544624726,0.3459684968207974,0.4865263677329554,755.4175400111717,1595.789697711565,2219.6040320027205,0.17357484164905282,0.34659406600729564,0.4798310923435404
26,16.11026449010042,33.340548647464416,48.008704364293635,0.16728483352491855,0.34558128566563595,0.4871338808094456,761.19672756815,1591.7350772613422,2225.652558514814,0.1749083231469969,0.3463718190909716,0.47871985776192033
27,16.543214219214537,36.711517535128166,47.45252343902518,0.16698338334640203,0.34747685396990696,0.4855397626836911,761.8662296199448,1594.6057156244997,2207.7673952479604,0.17468607623067287,0.34703855983994364,0.47827536392927233
28,12.526404635116288,34.10990061273397,48.57739033364067,0.1634411404228419,0.34855374234291575,0.48800511723424245,720.7143478349848,1617.0586312226912,2251.3817289076,0.16612956995219844,0.34726080675626764,0.4866096232914227
29,15.952977526330738,35.09609967553118,52.32981251527321,0.1625285884431618,0.34764736850083283,0.48982404305600546,737.8068136548952,1596.8849047782087,2218.6485571534254,0.16690743415933249,0.3444827203022175,0.48860984553833886
30,15.634515450467967,33.710846340656644,46.217742276227106,0.1626361394066402,0.3481586376675671,0.48920522292579277,732.1905875807073,1616.7173236952765,2214.8091124036787,0.1694632736970586,0.3459273252583236,0.4846094010445066
31,15.358911968554354,31.579343779527445,48.68608952615833,0.16243424272480464,0.346367150369963,0.49119860690523237,732.4975784265143,1592.418010225352,2217.941050474516,0.16601844649403644,0.3459273252583236,0.4880542282475288
32,13.55654644380665,33.983145770233136,47.36793148014628,0.16047475678744563,0.3475369853733877,0.4919882578391668,730.279027041545,1597.8669268958788,2228.886176329017,0.1650183353705784,0.3445938437603795,0.4903878208689309
