data_10_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,75,151.344858,0.008300,108,169.806195,0.005736
30,182,341.087048,0.022697,258,387.480637,0.018852
40,340,607.063580,0.048715,477,698.206102,0.047193
50,492,923.483556,0.084453,699,1039.566900,0.093040
60,734,1356.948873,0.147615,1029,1534.653180,0.188097
70,994,1807.310217,0.234676,1422,2099.345841,0.315034
80,1295,2376.910858,0.359967,1809,2705.756756,0.500789
90,1611,2986.060002,0.508219,2268,3399.029536,0.739632
100,2032,3702.809065,0.732536,2895,4272.701159,1.169925
110,2452,4488.414031,1.026482,3456,5124.723816,1.619417
120,2894,5314.364155,1.438599,4107,6093.025538,2.252751
130,3382,6223.193742,1.807998,4779,7118.514039,3.066880
140,3948,7216.896722,2.376689,5508,8225.396321,4.009641
150,4552,8296.867586,3.125344,6399,9531.528544,5.448575
160,5116,9367.044549,3.886324,7197,10706.605318,6.903088
170,5774,10574.903193,4.994234,8127,12126.751370,8.780514
180,6456,11898.084796,6.202593,9081,13577.734155,10.788287
190,7226,13229.030081,7.611111,10221,15175.663135,13.510263
200,7999,14664.523771,8.939602,11241,16819.211806,16.337115"""

data_15_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,95,163.967557,0.008829,136,188.190997,0.006799
30,221,372.181184,0.025467,312,440.802246,0.025587
40,373,645.736348,0.053635,535,745.371664,0.058247
50,558,980.237626,0.099168,793,1133.115824,0.117411
60,830,1442.006797,0.178672,1200,1687.411503,0.227306
70,1143,1964.860344,0.274404,1645,2319.526971,0.409339
80,1528,2599.184202,0.442937,2197,3053.641535,0.688127
90,1875,3249.918458,0.626659,2688,3776.936360,1.045219
100,2341,4023.960685,0.931967,3340,4715.270317,1.549000
110,2866,4877.191754,1.339932,4081,5699.104423,2.265241
120,3365,5769.931218,1.794388,4827,6755.916929,3.141532
130,3864,6694.847647,2.311854,5494,7783.839469,4.048439
140,4586,7836.752511,3.103973,6571,9178.412255,5.725329
150,5224,8980.083514,3.969513,7464,10525.457404,7.370324
160,5904,10190.137475,5.073616,8389,11837.450885,9.221824
170,6663,11492.379513,6.287459,9445,13348.961719,11.550115
180,7528,12908.705066,7.868097,10722,15033.133606,14.829881
190,8325,14335.958521,9.616875,11893,16732.975453,18.094034
200,9297,15957.598618,11.805151,13192,18605.030517,22.681263"""

data_20_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,99,166.415623,0.009532,137,188.778536,0.006613
30,229,383.838505,0.028885,321,446.132297,0.027449
40,402,681.656597,0.059797,581,785.595149,0.067608
50,633,1048.475921,0.116883,896,1223.481945,0.143566
60,923,1527.186573,0.199708,1335,1805.889891,0.277260
70,1230,2047.327189,0.317516,1775,2425.597238,0.473421
80,1649,2726.127695,0.499147,2378,3213.126128,0.794154
90,2048,3374.332057,0.725586,2931,3969.575139,1.244402
100,2567,4225.985981,1.096397,3656,4995.164208,1.890176
110,3139,5173.951906,1.549435,4520,6084.269727,2.768081
120,3653,6082.319444,2.031512,5280,7136.469494,3.790185
130,4206,6998.035263,2.602079,6044,8235.592351,4.932318
140,4990,8283.364869,3.726084,7172,9720.280088,6.989851
150,5684,9428.672485,4.697021,8151,11096.221060,8.871413
160,6504,10736.193544,6.067518,9329,12649.764482,11.507513
170,7332,12067.087055,7.610911,10487,14220.078787,14.454258
180,8224,13597.864295,9.606548,11802,16026.838270,18.188884
190,9104,15035.236255,11.496219,13028,17695.248486,22.378759
200,10141,16762.412652,14.157211,14510,19720.233493,27.147488"""
